"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Listen",,"InHost",,,,"::++49686++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:34 PM","::","49686","616","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:26 PM","::","49668","608","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:25 PM","::","49667","1788","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:25 PM","::","49666","1552","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:25 PM","::","49665","1112","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:24 PM","::","49664","472","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:26 PM","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:24 PM","::","135","868","::","0",
"Bound",,"InHost",,,,"0.0.0.0++49699++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:37:33 PM","0.0.0.0","49699","2464","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49683++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:33 PM","0.0.0.0","49683","2464","0.0.0.0","0",
"Established","Internet","InHost",,,,"127.0.0.1++49735++127.0.0.1++445",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 5:58:22 PM","127.0.0.1","49735","4","127.0.0.1","445",
"Established","Internet","InHost",,,,"192.168.40.75++49699++20.7.2.167++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:37:33 PM","192.168.40.75","49699","2464","20.7.2.167","443",
"Listen",,"InHost",,,,"0.0.0.0++49686++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:34 PM","0.0.0.0","49686","616","0.0.0.0","0",
"Established","Internet","InHost",,,,"192.168.40.75++49683++20.7.2.167++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:33 PM","192.168.40.75","49683","2464","20.7.2.167","443",
"Listen",,"InHost",,,,"0.0.0.0++49668++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:26 PM","0.0.0.0","49668","608","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:25 PM","0.0.0.0","49667","1788","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:25 PM","0.0.0.0","49666","1552","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:24 PM","0.0.0.0","49665","1112","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:24 PM","0.0.0.0","49664","472","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++5040++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:34 PM","0.0.0.0","5040","3860","0.0.0.0","0",
"Established","Internet","InHost",,,,"127.0.0.1++445++127.0.0.1++49735",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 5:58:22 PM","127.0.0.1","445","4","127.0.0.1","49735",
"Listen",,"InHost",,,,"192.168.40.75++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:29 PM","192.168.40.75","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/25/2023 4:36:24 PM","0.0.0.0","135","868","0.0.0.0","0",
