"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"16384","DESKTOP-PHS6MQO","System.Byte[]","882","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-11-26T21:40:31Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","11/25/2023 4:47:31 PM","11/25/2023 4:47:31 PM",,,
"15","DESKTOP-PHS6MQO","System.Byte[]","881","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/25/2023 4:47:04 PM","11/25/2023 4:47:04 PM",,,
"15","DESKTOP-PHS6MQO","System.Byte[]","880","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/25/2023 4:47:04 PM","11/25/2023 4:47:04 PM",,,
"15","DESKTOP-PHS6MQO","System.Byte[]","879","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/25/2023 4:47:02 PM","11/25/2023 4:47:02 PM",,,
"15","DESKTOP-PHS6MQO","System.Byte[]","878","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/25/2023 4:47:02 PM","11/25/2023 4:47:02 PM",,,
"16394","DESKTOP-PHS6MQO","System.Byte[]","877","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","11/25/2023 4:46:59 PM","11/25/2023 4:46:59 PM",,,
"15","DESKTOP-PHS6MQO","System.Byte[]","876","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/25/2023 4:46:46 PM","11/25/2023 4:46:46 PM",,,
"15","DESKTOP-PHS6MQO","System.Byte[]","875","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/25/2023 4:46:46 PM","11/25/2023 4:46:46 PM",,,
"0","DESKTOP-PHS6MQO","System.Byte[]","874","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","11/25/2023 4:45:14 PM","11/25/2023 4:45:14 PM",,,
"16384","DESKTOP-PHS6MQO","System.Byte[]","873","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-11-26T21:40:46Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","11/25/2023 4:41:46 PM","11/25/2023 4:41:46 PM",,,
"8198","DESKTOP-PHS6MQO","System.Byte[]","872","(0)","0","Error","License Activation (slui.exe) failed with the following error code:
hr=0x8007232B
Command-line arguments:
RuleId=eeba1977-569e-4571-b639-7623d8bfecc0;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee;NotificationInterval=1440;Trigger=UserLogon;SessionId=1","Software Protection Platform Service","System.String[]","3221233670","11/25/2023 4:41:16 PM","11/25/2023 4:41:16 PM",,,
