"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"16","DESKTOP-PHS6MQO","System.Byte[]","1533","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'90', '\??\C:\Users\champuser\AppData\Local\Packages\InputApp_cw5n1h2txyewy\Settings\settings.dat', '2', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 5:01:18 PM","11/25/2023 5:01:18 PM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-PHS6MQO","System.Byte[]","1532","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","11/25/2023 4:49:00 PM","11/25/2023 4:49:00 PM","NT AUTHORITY\SYSTEM",,
"1","DESKTOP-PHS6MQO","System.Byte[]","1531","(5)","5","Information","Possible detection of CVE: 2023-11-25T21:47:01.990939600Z
Additional Information: 2023-11-25T21:47:01.989997200Z

This Event is generated when an attempt to exploit a known vulnerability (2023-11-25T21:47:01.990939600Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","11/25/2023 4:47:01 PM","11/25/2023 4:47:01 PM","NT AUTHORITY\LOCAL SERVICE",,
"1","DESKTOP-PHS6MQO","System.Byte[]","1530","(5)","5","Information","Possible detection of CVE: 2023-11-25T21:47:01.989997200Z
Additional Information: 2023-11-25T21:47:01.988143200Z

This Event is generated when an attempt to exploit a known vulnerability (2023-11-25T21:47:01.989997200Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","11/25/2023 4:47:01 PM","11/25/2023 4:47:01 PM","NT AUTHORITY\LOCAL SERVICE",,
"35","DESKTOP-PHS6MQO","System.Byte[]","1529","(0)","0","Information","The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123) with reference id 1255620008. Current local stratum number is 4.","Microsoft-Windows-Time-Service","System.String[]","35","11/25/2023 4:47:01 PM","11/25/2023 4:47:01 PM","NT AUTHORITY\LOCAL SERVICE",,
"1","DESKTOP-PHS6MQO","System.Byte[]","1528","(5)","5","Information","Possible detection of CVE: 2023-11-25T21:47:01.988143200Z
Additional Information: 2023-11-25T21:47:00.896346200Z

This Event is generated when an attempt to exploit a known vulnerability (2023-11-25T21:47:01.988143200Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","11/25/2023 4:47:01 PM","11/25/2023 4:47:01 PM","NT AUTHORITY\LOCAL SERVICE",,
"7045","DESKTOP-PHS6MQO","System.Byte[]","1527","(0)","0","Information","A service was installed in the system.

Service Name:  MpKsle36fdfd8
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{A95E5093-B1A2-463B-B318-67DA2A52F89A}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  ","Service Control Manager","System.String[]","1073748869","11/25/2023 4:46:49 PM","11/25/2023 4:46:49 PM","NT AUTHORITY\SYSTEM",,
"37","DESKTOP-PHS6MQO","System.Byte[]","1526","(0)","0","Information","The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123).","Microsoft-Windows-Time-Service","System.String[]","37","11/25/2023 4:46:46 PM","11/25/2023 4:46:46 PM","NT AUTHORITY\LOCAL SERVICE",,
"7040","DESKTOP-PHS6MQO","System.Byte[]","1525","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","11/25/2023 4:44:25 PM","11/25/2023 4:44:25 PM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-PHS6MQO","System.Byte[]","1524","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","11/25/2023 4:43:15 PM","11/25/2023 4:43:15 PM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-PHS6MQO","System.Byte[]","1523","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","11/25/2023 4:41:13 PM","11/25/2023 4:41:13 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-PHS6MQO","System.Byte[]","1522","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'107', '\??\C:\Users\champuser\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat', '35', '8'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 4:41:12 PM","11/25/2023 4:41:12 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-PHS6MQO","System.Byte[]","1521","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'119', '\??\C:\Users\champuser\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat', '3', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 4:41:12 PM","11/25/2023 4:41:12 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-PHS6MQO","System.Byte[]","1520","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'67', '\??\C:\Users\champuser\AppData\Local\Microsoft\Windows\UsrClass.dat', '578', '139'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 4:41:11 PM","11/25/2023 4:41:11 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-PHS6MQO","System.Byte[]","1519","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'33', '\??\C:\Users\champuser\ntuser.dat', '818', '102'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 4:41:11 PM","11/25/2023 4:41:11 PM","NT AUTHORITY\SYSTEM",,
"7001","DESKTOP-PHS6MQO","System.Byte[]","1518","(1101)","1101","Information","User Logon Notification for Customer Experience Improvement Program","Microsoft-Windows-Winlogon","System.String[]","7001","11/25/2023 4:41:11 PM","11/25/2023 4:41:11 PM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-PHS6MQO","System.Byte[]","1517","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","11/25/2023 4:40:26 PM","11/25/2023 4:40:26 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-PHS6MQO","System.Byte[]","1516","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'35', '\SystemRoot\System32\config\DRIVERS', '30', '8'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 4:38:25 PM","11/25/2023 4:38:25 PM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-PHS6MQO","System.Byte[]","1515","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","11/25/2023 4:38:17 PM","11/25/2023 4:38:17 PM","NT AUTHORITY\SYSTEM",,
"19","DESKTOP-PHS6MQO","System.Byte[]","1514","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Update for Microsoft Defender Antivirus antimalware platform - KB4052623 (Version 4.18.23100.2009)","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","11/25/2023 4:37:04 PM","11/25/2023 4:37:04 PM","NT AUTHORITY\SYSTEM",,
"6","DESKTOP-PHS6MQO","System.Byte[]","1513","(0)","0","Information","File System Filter 'WdFilter' (10.0, 2086-05-12T21:12:26.000000000Z) has successfully loaded and registered with Filter Manager.","Microsoft-Windows-FilterManager","System.String[]","6","11/25/2023 4:36:55 PM","11/25/2023 4:36:55 PM","NT AUTHORITY\SYSTEM",,
"43","DESKTOP-PHS6MQO","System.Byte[]","1512","(1)","1","Information","Installation Started: Windows has started installing the following update: Update for Microsoft Defender Antivirus antimalware platform - KB4052623 (Version 4.18.23100.2009)","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","11/25/2023 4:36:53 PM","11/25/2023 4:36:53 PM","NT AUTHORITY\SYSTEM",,
"1","DESKTOP-PHS6MQO","System.Byte[]","1511","(0)","0","Information","File System Filter 'WdFilter' (Version 10.0, 1973-06-10T22:59:02.000000000Z) unloaded successfully.","Microsoft-Windows-FilterManager","System.String[]","1","11/25/2023 4:36:52 PM","11/25/2023 4:36:52 PM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-PHS6MQO","System.Byte[]","1510","(0)","0","Error","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.WscDataProtection', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","11/25/2023 4:36:52 PM","11/25/2023 4:36:52 PM","NT AUTHORITY\SYSTEM",,
"44","DESKTOP-PHS6MQO","System.Byte[]","1509","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","11/25/2023 4:36:48 PM","11/25/2023 4:36:48 PM","NT AUTHORITY\SYSTEM",,
"44","DESKTOP-PHS6MQO","System.Byte[]","1508","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","11/25/2023 4:36:48 PM","11/25/2023 4:36:48 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-PHS6MQO","System.Byte[]","1507","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'119', '\??\C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\dosvcState.dat', '4', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 4:36:47 PM","11/25/2023 4:36:47 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-PHS6MQO","System.Byte[]","1506","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'118', '\??\C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\migration.dat', '4', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 4:36:47 PM","11/25/2023 4:36:47 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-PHS6MQO","System.Byte[]","1505","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'41', '\??\C:\Windows\System32\config\COMPONENTS', '15', '5'","Microsoft-Windows-Kernel-General","System.String[]","16","11/25/2023 4:36:34 PM","11/25/2023 4:36:34 PM","NT AUTHORITY\SYSTEM",,
"7026","DESKTOP-PHS6MQO","System.Byte[]","1504","(0)","0","Information","The following boot-start or system-start driver(s) did not load: 
dam","Service Control Manager","System.String[]","3221232498","11/25/2023 4:36:26 PM","11/25/2023 4:36:26 PM",,,
"51046","DESKTOP-PHS6MQO","System.Byte[]","1503","(4)","4","Information","DHCPv6 client service is started","Microsoft-Windows-DHCPv6-Client","System.String[]","51046","11/25/2023 4:36:25 PM","11/25/2023 4:36:25 PM","NT AUTHORITY\LOCAL SERVICE",,
"50103","DESKTOP-PHS6MQO","System.Byte[]","1502","(4)","4","Information","DHCPv4 client registered for shutdown notification","Microsoft-Windows-Dhcp-Client","System.String[]","50103","11/25/2023 4:36:25 PM","11/25/2023 4:36:25 PM","NT AUTHORITY\LOCAL SERVICE",,
"50036","DESKTOP-PHS6MQO","System.Byte[]","1501","(4)","4","Information","DHCPv4 client service is started","Microsoft-Windows-Dhcp-Client","System.String[]","50036","11/25/2023 4:36:25 PM","11/25/2023 4:36:25 PM","NT AUTHORITY\LOCAL SERVICE",,
"6","DESKTOP-PHS6MQO","System.Byte[]","1500","(0)","0","Information","File System Filter 'storqosflt' (10.0, 2004-08-10T11:55:11.000000000Z) has successfully loaded and registered with Filter Manager.","Microsoft-Windows-FilterManager","System.String[]","6","11/25/2023 4:36:25 PM","11/25/2023 4:36:25 PM","NT AUTHORITY\SYSTEM",,
"6","DESKTOP-PHS6MQO","System.Byte[]","1499","(0)","0","Information","File System Filter 'CldFlt' (10.0, 2063-01-20T09:09:30.000000000Z) has successfully loaded and registered with Filter Manager.","Microsoft-Windows-FilterManager","System.String[]","6","11/25/2023 4:36:25 PM","11/25/2023 4:36:25 PM","NT AUTHORITY\SYSTEM",,
"1","DESKTOP-PHS6MQO","System.Byte[]","1498","(0)","0","Information","File System Filter 'CldFlt' (Version 10.0, 2063-01-20T09:09:30.000000000Z) unloaded successfully.","Microsoft-Windows-FilterManager","System.String[]","1","11/25/2023 4:36:25 PM","11/25/2023 4:36:25 PM","NT AUTHORITY\SYSTEM",,
"6","DESKTOP-PHS6MQO","System.Byte[]","1497","(0)","0","Information","File System Filter 'CldFlt' (10.0, 2063-01-20T09:09:30.000000000Z) has successfully loaded and registered with Filter Manager.","Microsoft-Windows-FilterManager","System.String[]","6","11/25/2023 4:36:25 PM","11/25/2023 4:36:25 PM","NT AUTHORITY\SYSTEM",,
